"id","date","price","bedrooms","bathrooms","sqft_lot","sqft_living","lat","long"
"36658","20141013T000000","8.64","1","1","30","30","-70.70553","-33.45663"
"36659","20141013T000000","8.67","1","1","35","35","-70.6895","-33.4528"
"36660","20141013T000000","8.74","1","1","39","39","-70.6594","-33.41038"
"36661","20141013T000000","8.74","1","1","39","39","-70.6594","-33.41038"
"36662","20141013T000000","8.82","1","1","26","26","-70.65038","-33.44931"
"36663","20141013T000000","8.82","1","1","28","30","-70.67098","-33.44534"
"36664","20141013T000000","8.82","1","1","33","33","-70.67979","-33.4375"
"36665","20141013T000000","8.82","1","1","25","25","-70.65934","-33.43839"
"36666","20141013T000000","8.82","1","1","30","30","-70.65874","-33.40702"
"36667","20141013T000000","8.82","1","1","25","25","-70.65532","-33.44836"
"36668","20141013T000000","8.82","1","1","28","28","-70.65532","-33.44836"
"36669","20141013T000000","8.82","1","1","35","35","-70.70007","-33.45496"
"36670","20141013T000000","8.82","1","1","30","30","-70.64602","-33.45214"
"36671","20141013T000000","8.82","1","1","30","30","-70.642","-33.46912"
"36213","20141013T000000","11.4","1","1","40","40","-70.65942","-33.44236"
"36231","20141013T000000","12.87","1","1","35","35","-70.64417","-33.43741"
"36268","20141013T000000","15.44","2","1","55","55","-70.64775","-33.43439"
"36303","20141013T000000","18.3","1","1","54","120","-70.64839","-33.43467"
"36409","20141013T000000","30","4","2","150","150","-70.6451","-33.43561"
"36672","20141013T000000","9.19","1","1","18","20","-70.6481","-33.4356"
"36673","20141013T000000","9.2","1","1","30","30","-70.64626","-33.42575"
"36674","20141013T000000","9.24","1","1","45","45","-70.64978","-33.43768"
"36675","20141013T000000","9.34","1","1","32","32","-70.64687","-33.43602"
"36676","20141013T000000","9.37","1","1","34","37","-70.65703","-33.43816"
"36677","20141013T000000","9.56","1","1","38","38","-70.64356","-33.42584"
"36678","20141013T000000","9.56","1","1","30","32","-70.659","-33.4359"
"36679","20141013T000000","9.56","1","1","22","22","-70.64669","-33.42592"
"36680","20141013T000000","9.56","1","1","36","37","-70.65536","-33.43768"
"36681","20141013T000000","9.74","1","1","36","36","-70.64684","-33.4345"
"36682","20141013T000000","9.76","1","1","34","34","-70.65714","-33.43659"
"36683","20141013T000000","9.92","1","1","32","32","-70.65893","-33.43608"
"36684","20141013T000000","9.92","1","1","31","33","-70.65748","-33.43429"
"36685","20141013T000000","9.92","1","1","36","74","-70.65739","-33.43661"
"36686","20141013T000000","9.92","1","1","34","34","-70.65739","-33.43664"
"36687","20141013T000000","9.92","1","1","25","25","-70.65061","-33.44192"
"36688","20141013T000000","9.92","1","1","34","35","-70.6543","-33.43537"
"36689","20141013T000000","9.92","1","1","32","34","-70.6584","-33.4354"
"36690","20141013T000000","9.92","1","1","23","23","-70.64554","-33.43579"
"36691","20141013T000000","9.92","1","1","42","42","-70.64796","-33.436"
"36692","20141013T000000","9.92","1","1","37","39","-70.6534","-33.43332"
"36693","20141013T000000","9.93","1","1","38","38","-70.64697","-33.43787"
"36695","20141013T000000","9.97","1","1","30","30","-70.65893","-33.43608"
"36694","20141013T000000","9.93","1","1","34","34","-70.65739","-33.43664"
"36696","20141013T000000","9.97","1","1","30","32","-70.65893","-33.43608"
"36697","20141013T000000","10.01","1","1","32","34","-70.64497","-33.44338"
"36698","20141013T000000","10.01","1","1","29","29","-70.64674","-33.43796"
"36699","20141013T000000","10.01","1","1","29","29","-70.64674","-33.43796"
"36700","20141013T000000","10.13","1","1","37","37","-70.6544","-33.43622"
"36701","20141013T000000","10.29","1","1","30","30","-70.65887","-33.43441"
"36702","20141013T000000","10.29","1","1","32","32","-70.64703","-33.44176"
"36703","20141013T000000","10.29","1","1","37","42","-70.65854","-33.43556"
"36704","20141013T000000","10.29","1","1","30","30","-70.65695","-33.43669"
"36705","20141013T000000","10.29","2","1","45","45","-70.6512","-33.43854"
"36706","20141013T000000","10.3","1","1","34","35","-70.65893","-33.43608"
"36707","20141013T000000","10.3","1","1","34","35","-70.65893","-33.43608"
"36708","20141013T000000","10.3","1","1","35","35","-70.65493","-33.43653"
"36709","20141013T000000","10.33","1","1","35","35","-70.64787","-33.43704"
"36710","20141013T000000","10.66","1","1","35","36","-70.64796","-33.436"
"36711","20141013T000000","10.66","1","1","21","21","-70.6511","-33.4413"
"36712","20141013T000000","10.66","1","1","50","50","-70.65788","-33.4368"
"36713","20141013T000000","10.66","1","1","50","52","-70.65788","-33.4368"
"36714","20141013T000000","10.67","1","1","25","25","-70.64703","-33.43594"
"36715","20141013T000000","10.68","1","1","33","40","-70.65853","-33.43913"
"36716","20141013T000000","10.8","1","1","30","30","-70.64713","-33.43622"
"36717","20141013T000000","11","2","2","60","70","-70.65618","-33.44199"
"36718","20141013T000000","11.03","1","1","30","30","-70.65892","-33.43376"
"36719","20141013T000000","11.03","1","1","37","44","-70.64353","-33.42601"
